"game_date","week","home_team","away_team","winner","tie","weekday","time","pts_win","pts_loss","yds_win","turnovers_win","yds_loss","turnovers_loss","home_team_name","home_team_city","away_team_name","away_team_city","total_attendance","home_attendance","away_attendance","weekly_attendance","wins","loss","points_for","points_against","points_differential","margin_of_victory","strength_of_schedule","simple_rating","offensive_ranking","defensive_ranking","playoffs","superbowl_winner","game_year"
2000-11-12,"11","Jacksonville Jaguars","Seattle Seahawks","Seattle Seahawks",NA,"Sun",13:02:00,28,21,326,0,437,1,"Jaguars","Jacksonville","Seahawks","Seattle",991957,482510,509447,68063,7,9,367,327,40,2.5,-1.4,1.1,3.2,-2.1,0,0,2000
2000-11-12,"11","Tennessee Titans","Baltimore Ravens","Baltimore Ravens",NA,"Sun",13:03:00,24,23,361,1,286,2,"Titans","Tennessee","Ravens","Baltimore",1091274,547524,543750,68490,13,3,346,191,155,9.7,-1.3,8.3,1.5,6.8,1,0,2000
2000-11-12,"11","Cleveland Browns","New England Patriots","Cleveland Browns",NA,"Sun",13:03:00,19,11,272,0,286,4,"Browns","Cleveland","Patriots","New England",1057139,581544,475595,72618,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,0,0,2000
2000-11-12,"11","San Francisco 49ers","Kansas City Chiefs","San Francisco 49ers",NA,"Sun",16:00:00,21,7,389,0,294,1,"49ers","San Francisco","Chiefs","Kansas City",1057954,541964,515990,68002,6,10,388,422,-34,-2.1,-1.7,-3.8,1.7,-5.5,0,0,2000
2000-11-12,"11","San Diego Chargers","Miami Dolphins","Miami Dolphins",NA,"Sun",16:05:00,17,7,244,0,238,4,"Chargers","San Diego","Dolphins","Miami",981863,433459,548404,56896,1,15,269,440,-171,-10.7,2.6,-8.1,-3.7,-4.4,0,0,2000
2000-11-12,"11","Tampa Bay Buccaneers","Green Bay Packers","Tampa Bay Buccaneers",NA,"Sun",16:15:00,20,15,272,1,302,1,"Buccaneers","Tampa Bay","Packers","Green Bay",1080729,524775,555954,65621,10,6,388,269,119,7.4,-0.1,7.3,3.4,3.9,1,0,2000
2000-11-12,"11","New York Giants","St. Louis Rams","St. Louis Rams",NA,"Sun",16:15:00,38,24,397,1,348,3,"Giants","New York","Rams","St. Louis",1135455,624085,511370,78174,12,4,328,246,82,5.1,-2.7,2.4,-1.3,3.8,1,0,2000
2000-11-12,"11","Indianapolis Colts","New York Jets","Indianapolis Colts",NA,"Sun",20:35:00,23,15,358,1,367,2,"Colts","Indianapolis","Jets","New York",1008013,454319,553694,56657,10,6,429,326,103,6.4,1.5,7.9,7.1,0.8,1,0,2000
2000-11-13,"11","Denver Broncos","Oakland Raiders","Denver Broncos",NA,"Mon",21:09:00,27,24,329,2,411,3,"Broncos","Denver","Raiders","Oakland",1140030,604042,535988,75951,11,5,485,369,116,7.3,-2.2,5,7.8,-2.7,1,0,2000
2000-11-19,"12","Minnesota Vikings","Carolina Panthers","Minnesota Vikings",NA,"Sun",13:00:00,31,17,446,2,330,3,"Vikings","Minnesota","Panthers","Carolina",1029262,513322,515940,64208,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,1,0,2000
2000-11-19,"12","Kansas City Chiefs","Buffalo Bills","Buffalo Bills",NA,"Sun",13:00:00,21,17,299,0,378,2,"Chiefs","Kansas City","Bills","Buffalo",1115272,631365,483907,78457,7,9,355,354,1,0.1,0.6,0.6,0.1,0.6,0,0,2000
2000-11-19,"12","New England Patriots","Cincinnati Bengals","New England Patriots",NA,"Sun",13:02:00,16,13,291,1,365,2,"Patriots","New England","Bengals","Cincinnati",1030594,482336,548258,60292,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,0,0,2000
2000-11-19,"12","Philadelphia Eagles","Arizona Cardinals","Philadelphia Eagles",NA,"Sun",13:02:00,34,9,338,2,210,1,"Eagles","Philadelphia","Cardinals","Arizona",1039856,523531,516325,65356,11,5,351,245,106,6.6,-3.6,3.1,1,2.1,1,0,2000
2000-11-19,"12","New Orleans Saints","Oakland Raiders","Oakland Raiders",NA,"Sun",13:02:00,31,22,293,1,333,1,"Saints","New Orleans","Raiders","Oakland",980803,504315,476488,64900,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,1,0,2000
2000-11-19,"12","Green Bay Packers","Indianapolis Colts","Green Bay Packers",NA,"Sun",13:02:00,26,24,432,1,338,2,"Packers","Green Bay","Colts","Indianapolis",1049602,478747,570855,59869,9,7,353,323,30,1.9,0.6,2.5,1.8,0.7,0,0,2000
2000-11-19,"12","New York Giants","Detroit Lions","Detroit Lions",NA,"Sun",13:03:00,31,21,314,2,373,4,"Giants","New York","Lions","Detroit",1135455,624085,511370,77897,12,4,328,246,82,5.1,-2.7,2.4,-1.3,3.8,1,0,2000
2000-11-19,"12","Tennessee Titans","Cleveland Browns","Tennessee Titans",NA,"Sun",13:03:00,24,10,374,7,125,1,"Titans","Tennessee","Browns","Cleveland",1091274,547524,543750,68498,13,3,346,191,155,9.7,-1.3,8.3,1.5,6.8,1,0,2000
2000-11-19,"12","Chicago Bears","Tampa Bay Buccaneers","Chicago Bears",NA,"Sun",13:04:00,13,10,243,1,225,3,"Bears","Chicago","Buccaneers","Tampa Bay",1080684,535552,545132,66944,5,11,216,355,-139,-8.7,2.4,-6.3,-6.4,0.1,0,0,2000
2000-11-19,"12","Miami Dolphins","New York Jets","New York Jets",NA,"Sun",16:05:00,20,3,239,2,200,4,"Dolphins","Miami","Jets","New York",1118883,589909,528974,74320,11,5,323,226,97,6.1,1,7.1,0,7.1,1,0,2000
2000-11-19,"12","Denver Broncos","San Diego Chargers","Denver Broncos",NA,"Sun",16:05:00,38,37,536,5,385,3,"Broncos","Denver","Chargers","San Diego",1140030,604042,535988,75218,11,5,485,369,116,7.3,-2.2,5,7.8,-2.7,1,0,2000
2000-11-19,"12","Baltimore Ravens","Dallas Cowboys","Baltimore Ravens",NA,"Sun",16:15:00,27,0,479,2,192,3,"Ravens","Baltimore","Cowboys","Dallas",1062373,551695,510678,69416,12,4,333,165,168,10.5,-2.5,8,0,8,1,1,2000
2000-11-19,"12","San Francisco 49ers","Atlanta Falcons","San Francisco 49ers",NA,"Sun",16:16:00,16,6,337,1,211,1,"49ers","San Francisco","Falcons","Atlanta",1057954,541964,515990,67447,6,10,388,422,-34,-2.1,-1.7,-3.8,1.7,-5.5,0,0,2000
2000-11-19,"12","Pittsburgh Steelers","Jacksonville Jaguars","Jacksonville Jaguars",NA,"Sun",20:35:00,34,24,417,2,302,5,"Steelers","Pittsburgh","Jaguars","Jacksonville",987037,440426,546611,50925,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,0,0,2000
2000-11-20,"12","St. Louis Rams","Washington Redskins","Washington Redskins",NA,"Mon",21:08:00,33,20,400,1,394,3,"Rams","St. Louis","Redskins","Washington",1081368,528402,552966,66087,10,6,540,471,69,4.3,-1.2,3.1,12.6,-9.5,1,0,2000
2000-11-23,"13","Detroit Lions","New England Patriots","Detroit Lions",NA,"Thu",12:36:00,34,9,299,1,215,2,"Lions","Detroit","Patriots","New England",1140926,607076,533850,77923,9,7,307,307,0,0,1.4,1.4,-0.1,1.5,0,0,2000
2000-11-23,"13","Dallas Cowboys","Minnesota Vikings","Minnesota Vikings",NA,"Thu",16:08:00,27,15,360,0,404,2,"Cowboys","Dallas","Vikings","Minnesota",1075470,504360,571110,63878,5,11,294,361,-67,-4.2,-0.4,-4.6,-1.5,-3,0,0,2000
2000-11-26,"13","Tampa Bay Buccaneers","Buffalo Bills","Tampa Bay Buccaneers",NA,"Sun",13:00:00,31,17,180,0,433,2,"Buccaneers","Tampa Bay","Bills","Buffalo",1080729,524775,555954,65546,10,6,388,269,119,7.4,-0.1,7.3,3.4,3.9,1,0,2000
2000-11-26,"13","Baltimore Ravens","Cleveland Browns","Baltimore Ravens",NA,"Sun",13:01:00,44,7,461,2,112,3,"Ravens","Baltimore","Browns","Cleveland",1062373,551695,510678,68361,12,4,333,165,168,10.5,-2.5,8,0,8,1,1,2000
2000-11-26,"13","Washington Redskins","Philadelphia Eagles","Philadelphia Eagles",NA,"Sun",13:01:00,23,20,289,2,326,2,"Redskins","Washington","Eagles","Philadelphia",1174332,647424,526908,83284,8,8,281,269,12,0.8,0.2,1,-2.9,3.8,0,0,2000
2000-11-26,"13","Cincinnati Bengals","Pittsburgh Steelers","Pittsburgh Steelers",NA,"Sun",13:02:00,48,28,372,0,309,3,"Bengals","Cincinnati","Steelers","Pittsburgh",967434,469992,497442,63925,4,12,185,359,-174,-10.9,0.4,-10.5,-8.1,-2.4,0,0,2000
